"","ID","Species","Year","Author","Location","Latitude","Longitude","Data_source_type"
"143","LPD 6902","Thalasseus sandvicensis",1972,"{Dies, 2004 #2199}","Albufera de Valencia",39.333504,"-0.346729","Secondary source"
"144","LPD 10833","Capra pyrenaica",1973,"{Escós, 2008 #2538}","Tejeda-Almijara, Andalusia, southern Spain",36.83333,"-3.86667","Journal"
"145","LPD 10649","Gyps fulvus",1973,"{Del Moral, 2010 #2438}","Castellón province, Valenciana autonomous community, Spain",40.23333,"-5.28333","Government report"
"146","LPD 10513","Aegypius monachus",1973,"{De la Puente, 2007 #2402}","Andalucía, Spain",38.35111,"-5.00972","Secondary source"
"147","LPD 9126","Physeter catodon",1973,"{Vieira, 2009 #2079}","Islands of the Azores Archipelago",37.96667,"-27.21667","Journal"
"148","LPD 8518","Aquila adalberti",1973,"{Ferrer, 2008 #1891} updated with {López-López, 2011 #2497} updated with {Ferrer, 2013 #3466}","Doñana National Park, south-western Spain",37,"-6.5","Journal"
"149","LPD 7365","Phoenicopterus roseus",1973,"{Childress, 2007-2008 #2236} updated with {Rendón-Martos, 2009 #4375}","Fuente de Piedra, Spain",37.11667,"-4.78333","Journal"
"150","LPD 7353","Neovison vison",1973,"{Jiménez, 1996 #2912}","Teruel and Castellon provinces, eastern Spain",40.66667,"-0.66667","Journal"
"151","LPD 7232","Tringa totanus",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"152","LPD 7231","Tringa ochropus",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"153","LPD 7230","Tringa nebularia",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"154","LPD 7228","Tringa erythropus",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"155","LPD 7226","Numenius arquata",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"156","LPD 7225","Limosa lapponica",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"157","LPD 7218","Limosa limosa",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"158","LPD 7217","Gallinago gallinago",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"159","LPD 7215","Calidris alpina",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"160","LPD 7212","Calidris alba",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"161","LPD 7210","Vanellus vanellus",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"162","LPD 7209","Pluvialis squatarola",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"163","LPD 7208","Pluvialis apricaria",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"164","LPD 7207","Charadrius alexandrinus",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"165","LPD 7206","Charadrius hiaticula",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"166","LPD 7205","Recurvirostra avosetta",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"167","LPD 7195","Fulica atra",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"168","LPD 7192","Aythya fuligula",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"169","LPD 7191","Aythya ferina",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"170","LPD 7190","Netta rufina",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"171","LPD 7189","Spatula clypeata",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"172","LPD 7188","Anas acuta",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"173","LPD 7187","Anas platyrhynchos",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"174","LPD 7186","Anas crecca",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"175","LPD 7185","Mareca strepera",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"176","LPD 7184","Mareca penelope",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"177","LPD 7183","Tadorna tadorna",1973,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"178","LPD 7069","Spatula clypeata",1973,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"179","LPD 7068","Anas platyrhynchos",1973,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"180","LPD 7067","Anas crecca",1973,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"181","LPD 7066","Mareca penelope",1973,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"182","LPD 7065","Anser fabalis",1973,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"183","LPD 7064","Anser anser",1973,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"184","LPD 6952","Larus fuscus",1973,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"185","LPD 6929","Falco tinnunculus",1973,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"186","LPD 6927","Plegadis falcinellus",1973,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
